image_path,true_label,status_code,predicted_label,response_json
data\processed\PetImages_224_split\test\Cat\10001.jpg,Cat,200,"{'probabilities': [0.7799263000488281, 0.22007375955581665], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.7799263000488281, 0.22007375955581665], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10004.jpg,Cat,200,"{'probabilities': [0.971828281879425, 0.028171706944704056], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.971828281879425, 0.028171706944704056], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10012.jpg,Cat,200,"{'probabilities': [0.9999834299087524, 1.6587136997259222e-05], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9999834299087524, 1.6587136997259222e-05], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10020.jpg,Cat,200,"{'probabilities': [0.9731422662734985, 0.02685774862766266], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9731422662734985, 0.02685774862766266], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10028.jpg,Cat,200,"{'probabilities': [0.9998779296875, 0.00012206536484882236], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9998779296875, 0.00012206536484882236], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10034.jpg,Cat,200,"{'probabilities': [0.969999372959137, 0.030000628903508186], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.969999372959137, 0.030000628903508186], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10035.jpg,Cat,200,"{'probabilities': [0.9969719648361206, 0.0030280076898634434], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9969719648361206, 0.0030280076898634434], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10044.jpg,Cat,200,"{'probabilities': [0.8105945587158203, 0.1894054114818573], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8105945587158203, 0.1894054114818573], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10049.jpg,Cat,200,"{'probabilities': [0.231694296002388, 0.7683057188987732], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.231694296002388, 0.7683057188987732], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10078.jpg,Cat,200,"{'probabilities': [0.7446612119674683, 0.25533875823020935], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.7446612119674683, 0.25533875823020935], ""predicted_class"": 0, ""predicted_label"": null}]}"
